station,days,return,code ,,
Admiralty,,"Jurong East: 0033
Kranji: 0049
Marina South Pier: 2316
Marina Bay: 2318
Toa Payoh: 2353
Ang Mo Kio: 0042",NS10,,
Aljunied,,"Pasir Ris: 0020
Tuas Link: 2343",EW9,,
Ang Mo Kio,,"Jurong East: 0015
Kranji: 0032
Marina South Pier: 2334
Marina Bay: 2336
Toa Payoh: 0011",NS16,,
Bakau,,"Ranggung to Compassvale: 0026
Compassvale to Ranggung: 0042",SE3,,
Bangkit,,"Petir to Senja: 0111
Senja to Petir: 0059",BP9,,
Bartley,,"Dhoby Ghaut: 2342
Mountbatten: 0019
HarbourFront: 2310
Pasir Panjang: 2341
one-north: 2357
Caldecott: 0024",CC12,,
Bayfront,,"__CC__
Stadium: 2357
Marina Bay: 2351

__DT__
Bukit Panjang: 0015
Expo: 0007",CE1,DT16,
Beauty World,,"Bukit Panjang: 0040
Expo: 2342",DT5,,
Bedok,,"Pasir Ris: 0029
Tuas Link: 2334",EW5,,
Bedok North,,"Bukit Panjang: 2354
Expo: 0028",DT29,,
Bedok Reservoir,,"Bukit Panjang: 2351
Expo: 0030",DT30,,
Bencoolen,,"Bukit Panjang: 0010
Expo: 0012",DT21,,
Bendemeer,,"Bukit Panjang: 0006
Expo: 0016",DT23,,
Bishan,,"__NS__
Jurong East: 0012
Kranji: 0028
Marina South Pier: 2337
Marina Bay: 2339
Toa Payoh: 0015

__CC__
Dhoby Ghaut: 2335
Mountbatten: 0012
Bartley: 0036
HarbourFront: 2318
Pasir Panjang: 2348
one-north: 0004
Caldecott: 0032",NS17,CC15,
Boon Keng,,"HarbourFront: 2346
Punggol: 0010",NE9,,
Boon Lay,,"Pasir Ris: 2338
Tuas Link: 0032",EW27,,
Botanic Gardens,,"__CC__
Dhoby Ghaut: 2325
Mountbatten: 0002
Bartley: 0026
HarbourFront: 2327
Pasir Panjang: 2357
one-north: 0013

__DT__
Bukit Panjang: 0031
Expo: 2351",CC19,DT9,
Braddell,,"Jurong East: 0009
Kranji: 0026
Marina South Pier: 2339
Marina Bay: 2341
Toa Payoh: 0017",NS18,,
Bras Basah,,"Dhoby Ghaut: 0003
HarbourFront: 2250
Pasir Panjang: 2320
one-north: 2336
Caldecott: 0003
Tai Seng: 0011",CC2,,
Buangkok,,"HarbourFront: 2332
Punggol: 0024",NE15,,
Bugis,,"__EW__
Pasir Ris: 0014
Tuas Link: 2349

__DT__
Bukit Panjang: 0020
Expo: 0003",EW12,DT14,
Bukit Batok,,"Jurong East: 0055
Marina South Pier: 2250
Marina Bay: 2256
Toa Payoh: 2331
Ang Mo Kio: 0020",NS2,,
